Time,Dates,Sources,Headlines
8.57 am , 05 Dec 2019 ,   Source: Moneycontrol.com,"Top buy and sell ideas by Ashwani Gujral, Prakash Gaba, Mitesh Thakkar for short term"
1.55 pm , 28 Nov 2019 ,   Source: Moneycontrol.com,"'Fibonacci retracement suggests Nifty may touch 12,250 before bears make an entry'"
12.56 pm , 28 Nov 2019 ,   Source: Tech2,Time for Infosys founders to move on - once and for all
8.34 pm , 21 Nov 2019 ,   Source: PTI,Infosys troubles: Mohandas Pai says co should stop resorting to rhetoric
5.05 pm , 21 Nov 2019 ,   Source: PTI,Kiran Mazumdar Shaw settles alleged insider trading case with Sebi in Infosys matter
7.29 pm , 20 Nov 2019 ,   Source: PTI,"Perhaps SEBI needs to be more muscular, says Chairman Ajay Tyagi"
9.24 pm , 18 Nov 2019 ,   Source: PTI,Hired over 500 American workers in Indiana since March 2018: Infosys
12.11 am , 11 Nov 2019 ,   Source: Moneycontrol.com,Exclusive | Infosys looking to beef up whistleblower probe; insider trading not suspected
8.22 pm , 07 Nov 2019 ,   Source: Moneycontrol.com,Part of CSR funding should be used for research: Kris Gopalakrishnan
5.21 pm , 06 Nov 2019 ,   Source: Moneycontrol.com,Capgemini lays off 500 employees in India over slowdown in business: Report
12.53 pm , 06 Nov 2019 ,   Source: Moneycontrol.com,Infosys climbs 4% after mgmt commentary on whistleblower complaints; key takeaways from concall
8.15 pm , 05 Nov 2019 ,   Source: Moneycontrol.com,"Infosys lays off thousands of mid, senior-level employees: Report"
5.11 pm , 04 Nov 2019 ,   Source: PTI,No prima facie evidence to corroborate whistleblowers' allegations: Infosys
5.10 pm , 02 Nov 2019 ,   Source: Moneycontrol.com,Mutual funds wrap: Infosys whistleblower complaint dents October returns of IT-related schemes
8.46 am , 25 Oct 2019 ,   Source: Moneycontrol.com,"Infosys announces stock incentives for over 6,000 mid-level employees"
7.50 pm , 23 Oct 2019 ,   Source: Moneycontrol.com,SEBI starts probe against Infosys over whistleblower charges
9.58 pm , 22 Oct 2019 ,   Source: PTI,"Infosys shares nosedive nearly 17%; m-cap drops by Rs 53,451 cr on whistleblower complaint"
6.50 pm , 22 Oct 2019 ,   Source: Moneycontrol.com,Infosys-whistleblower saga: IT firm will have to rely on SEC
5.07 pm , 22 Oct 2019 ,   Source: Moneycontrol.com,Whistleblower impact: US firm preparing class action suit against Infosys
1.17 pm , 22 Oct 2019 ,   Source: Moneycontrol.com,"Infosys investors upset, but give company benefit of doubt"
7.46 am , 22 Oct 2019 ,   Source: Moneycontrol.com,"Infosys – Opening Pandora’s box, avoid the stock"
7.38 pm , 21 Oct 2019 ,   Source: Reuters,US listed shares of Infosys plunge 16% after whistleblower complaints
10.29 am , 16 Oct 2019 ,   Source: Moneycontrol.com,Brokerages raise target price in these 3 stocks post Q2 results
6.36 pm , 14 Oct 2019 ,   Source: Moneycontrol.com,"Q2 results analysis: More pain in store for IT firms in 2020, say experts"
7.20 am , 14 Oct 2019 ,   Source: Moneycontrol.com,"Infosys Q2: Stellar execution, remains a buy"
7.36 pm , 11 Oct 2019 ,   Source: Moneycontrol.com,Infosys on a hiring spree as it looks to address attrition woes
8.58 am , 11 Oct 2019 ,   Source: Moneycontrol.com,"TCS Q2: Macro headwinds come to the fore, wait for downside to play out"
10.36 am , 09 Oct 2019 ,   Source: Moneycontrol.com,"Strong support for Nifty at 11,000; HCL Tech, HDFC on analysts’ radar"
10.27 pm , 01 Oct 2019 ,   Source: PTI,"SAP, Infosys tie-up for enterprise business"
8.17 am , 27 Sep 2019 ,   Source: PTI,India can become world leader in artificial intelligence: Vishal Sikka
2.58 pm , 24 Sep 2019 ,   Source: PTI,"Infosys, TCS, HDFC among 17 Indian firms in Forbes best 'regarded' cos list"
9.35 am , 27 Aug 2019 ,   Source: PTI,"Infosys closes Rs 8,260 crore buyback offer, takes back 11.05 crore shares"
8.27 am , 27 Aug 2019 ,   Source: PTI,"Infosys board considers closure of Rs 8,260 crore buyback offer"
7.00 pm , 21 Aug 2019 ,   Source: PTI,Infosys expands strategic partnership with Google Cloud
1.24 pm , 12 Aug 2019 ,   Source: Moneycontrol.com,SEBI raises concern over 35% minimum shareholding plan: Report
8.07 am , 05 Aug 2019 ,   Source: Moneycontrol.com,Podcast | Stock picks of the day: Nifty may trade in a 430 points range
12.50 pm , 29 Jul 2019 ,   Source: PTI,Infosys sets up cyber defence centre in Bucharest
12.30 pm , 25 Jul 2019 ,   Source: Moneycontrol.com,Infosys' board looks to stem high attrition: Report
6.22 pm , 23 Jul 2019 ,   Source: Moneycontrol.com,IBM study says average yearly cost of data breach in Indian companies close to Rs 13 crore
3.01 pm , 19 Jul 2019 ,   Source: Moneycontrol.com,Q1 results analysis: Digital is the only way forward for IT firms
3.58 pm , 16 Jul 2019 ,   Source: Moneycontrol.com,Hold Infosys; target of Rs 845: ICICI Direct
9.25 pm , 15 Jul 2019 ,   Source: PTI,"Infosys, TCS, 14 other Indian firms see climate change risks in 5 yrs"
3.04 pm , 15 Jul 2019 ,   Source: Moneycontrol.com,Accumulate Infosys; target of Rs 782: Prabhudas Lilladher
3.02 pm , 15 Jul 2019 ,   Source: Moneycontrol.com,Buy Infosys; target of Rs 840: Sharekhan
3.01 pm , 15 Jul 2019 ,   Source: Moneycontrol.com,Buy Infosys; target of Rs 840: Motilal Oswal
9.36 am , 15 Jul 2019 ,   Source: Moneycontrol.com,"Infosys: Great start to the year, a strong buy"
8.06 pm , 12 Jul 2019 ,   Source: Moneycontrol.com,High attrition continues to haunt Infosys
5.29 pm , 12 Jul 2019 ,   Source: Moneycontrol.com,"Infosys net profit down 6.8% QoQ, albeit beats Q1 estimates - here are the top 10 takeaways"
5.01 pm , 12 Jul 2019 ,   Source: Moneycontrol.com,"Infosys Consolidated June 2019 Net Sales at Rs 21,803.00 crore, up 13.98% Y-o-Y"
5.01 pm , 12 Jul 2019 ,   Source: Moneycontrol.com,"Infosys Standalone June 2019 Net Sales at Rs 19,131.00 crore, up 12.17% Y-o-Y"
4.12 pm , 12 Jul 2019 ,   Source: Moneycontrol.com,"Infosys Q1 profit falls 6.8%, raises FY20 constant currency revenue guidance to 8.5-10%"
9.36 am , 12 Jul 2019 ,   Source: Moneycontrol.com,Infosys to announce earnings on July 12; here are 5 key things to note
1.10 pm , 08 Jul 2019 ,   Source: Moneycontrol.com,"Infosys Q1 PAT may dip 11% QoQ to Rs. 3,630.6 cr: Kotak"
3.01 pm , 25 Jun 2019 ,   Source: Moneycontrol.com,Shareholders raise concerns over incentives to top Infy management
9.42 am , 24 Jun 2019 ,   Source: Moneycontrol.com,"Panaya, Skava still a thorn in Infosys’ side"
8.35 pm , 14 Jun 2019 ,   Source: PTI,Infosys to announce Q1 results on July 12
10.30 pm , 10 Jun 2019 ,   Source: PTI,Infosys sets up experience design & innovation studio in London
12.18 pm , 28 May 2019 ,   Source: Moneycontrol.com,Infosys completes formation of strategic partnership with ABN AMRO in the Netherlands
12.59 pm , 24 May 2019 ,   Source: PTI,Infosys completes acquisition of 75% stake in ABN AMRO Bank subsidiary Stater
11.13 pm , 23 May 2019 ,   Source: Moneycontrol.com,Sell Infosys; target of Rs 700: Dolat Capital
4.35 pm , 20 May 2019 ,   Source: Moneycontrol.com,Rs 24.67 crore - Infosys CEO Salil Parekh's salary for FY19
9.38 pm , 16 May 2019 ,   Source: PTI,Infosys to allocate 50 mn shares to incentivise employees
2.45 pm , 15 May 2019 ,   Source: Moneycontrol.com,How HCL Tech balances its organic and inorganic strategy will determine its growth
1.27 pm , 15 May 2019 ,   Source: Moneycontrol.com,Moneycontrol Special on hiring trends - Part 2 | Rise in overseas hiring may be a blessing in disguise for IT companies
12.02 pm , 09 May 2019 ,   Source: Moneycontrol.com,Exclusive | AdiGro Aviation to bid for Jet Airways; wants to partner Etihad to revive airline
5.35 pm , 16 Apr 2019 ,   Source: Moneycontrol.com,Buy Infosys; target of Rs 805: ICICI Direct
4.37 pm , 16 Apr 2019 ,   Source: Moneycontrol.com,Hold Infosys; target of Rs 761: KR Choksey
3.49 pm , 16 Apr 2019 ,   Source: Moneycontrol.com,Hold Infosys; target of Rs 735: Nalanda Securities
3.40 pm , 16 Apr 2019 ,   Source: Moneycontrol.com,Accumulate Infosys; target of Rs 849: Arihant Capital
8.09 pm , 15 Apr 2019 ,   Source: PTI,Infosys to roll out incentive scheme for staff with digital skills
4.03 pm , 15 Apr 2019 ,   Source: Moneycontrol.com,Buy Infosys; target of Rs 840: Sharekhan
3.55 pm , 15 Apr 2019 ,   Source: Moneycontrol.com,Accumulate Infosys; target of Rs 782: Prabhudas Lilladher
3.43 pm , 15 Apr 2019 ,   Source: Moneycontrol.com,Sell Infosys; target of Rs 700: Dolat Capital
