Time,Dates,Sources,Headlines
3.53 pm , 27 Dec 2006,@,Invest in bank stocks
2.11 pm , 20 Dec 2006,@,Narayana Murthy receives TiE Entrepreneurship Award
1.12 pm , 20 Dec 2006,@,Stay invested in Satyam Computer
8.41 am , 20 Dec 2006,@,Human capital in short supply: Nilekani
4.57 pm , 19 Dec 2006,@,Shortage of human capital a concern for India: Nilekani
8.00 am , 19 Dec 2006,@,Infosys plans to strengthen Finacle platform 
11.44 am , 18 Dec 2006,@,Infosys & Wipro anchor customers at the Mahindra World City
8.53 am , 18 Dec 2006,@,Infosys to enter Nasdaq 100 today
6.28 pm , 15 Dec 2006,@,IBM & Infosys set benchmark for core banking transaction
8.33 am , 15 Dec 2006,@,Infosys unveils new HR practices
2.11 pm , 14 Dec 2006,@,Stay invested in Infosys Technologies: Pujara
2.11 pm , 14 Dec 2006,@,Hold Infosys Technologies: Gaba
5.02 pm , 13 Dec 2006,@,"ACC, Grasim looks good"
11.02 am , 12 Dec 2006,@,F&O strategies for the day
8.05 pm , 11 Dec 2006,@,Infosys makes it to Nasdaq
3.18 pm , 11 Dec 2006,@,Infosys & IBM set benchmark for core banking transaction
11.14 am , 11 Dec 2006,@,Infosys added to NASDAQ-100 Index
3.16 pm , 08 Dec 2006,@,Hold Mphasis BFL: Vasudeo
3.41 pm , 07 Dec 2006,@,Satyam can inch upto Rs 550 in medium term
5.00 pm , 06 Dec 2006,@,"Buy Ranbaxy, Satyam, Bharti"
5.22 pm , 05 Dec 2006,@,"Look at Infosys, Bajaj, BHEL, RIL & HLL: Gaba"
3.25 pm , 05 Dec 2006,@,Buy Infosys Technologies on correction
12.57 pm , 05 Dec 2006,@,Buy Infosys Technologies
4.10 pm , 01 Dec 2006,@,Infy to provide s/w solutions for Bharti-Walmart
3.21 pm , 30 Nov 2006,@,Finacle from Infosys emerges as a leader in retail banking
10.55 am , 29 Nov 2006,@,"Buy Infosys, Satyam"
1.04 pm , 28 Nov 2006,@,Buy TCS at current levels
10.49 am , 27 Nov 2006,@,"Above Rs 250, HLL can touch Rs 285-290"
12.30 pm , 24 Nov 2006,@,Wipro can go upto Rs 600-610
1.01 pm , 23 Nov 2006,@,"Satyam, TCS, Infosys can add 25-30%"
6.43 pm , 22 Nov 2006,@,Hold ICICI Bank
4.44 pm , 22 Nov 2006,@,TCS has target of Rs 1200
7.27 pm , 21 Nov 2006,@,Cherry picking Indian ADRs
4.38 pm , 21 Nov 2006,@,"Infosys prices $1,605,000,000 offering from India"
12.01 pm , 21 Nov 2006,@,Promoters' holding to come down by 2%: Infosys
12.00 pm , 21 Nov 2006,@,Demand to tender Infy shares has been strong: ENAM
2.11 pm , 20 Nov 2006,@,Buy ACC between Rs 1020-1054
7.15 pm , 14 Nov 2006,@,HCL Tech has resistance at Rs 660-670
5.22 pm , 14 Nov 2006,@,Not too much room in IT stocks
12.20 pm , 14 Nov 2006,@,Infosys can touch Rs 2300
10.57 am , 10 Nov 2006,@,F&O strategies for the day
6.23 pm , 09 Nov 2006,@,Satyam Computer looks good
5.18 pm , 09 Nov 2006,@,Infosys has target of Rs 2200-2220
10.48 am , 09 Nov 2006,@,Buy Infosys Technologies: P-Sec
8.33 am , 09 Nov 2006,@,Bridging more than the digital divide
5.07 pm , 08 Nov 2006,@,"Reliance, Infosys look strong"
5.00 pm , 08 Nov 2006,@,Infosys can touch Rs 2250-2300
4.45 pm , 08 Nov 2006,@,Infosys will remain firm
1.45 pm , 08 Nov 2006,@,Infosys ADR issue for USD 30 mn to open tomorrow
4.32 pm , 07 Nov 2006,@,Infosys to list on the Nasdaq 100
6.37 pm , 03 Nov 2006,@,Financial closure on Rs 765cr Bangalore Expressway achieved
11.31 am , 01 Nov 2006,@,Chandigarh emerges as cost competitive location
11.43 am , 30 Oct 2006,@,Aptech can touch Rs 184
3.14 pm , 25 Oct 2006,@,Tata Corus Deal: Sign of a Confident Indian Inc
5.28 pm , 20 Oct 2006,@,IT pack looks interesting
10.33 am , 20 Oct 2006,@,Srivastava bullish on technology
9.25 am , 20 Oct 2006,@,CII's new campaign striving to wipe out corruption
10.58 am , 18 Oct 2006,@,Wipro has target of Rs 700
8.22 pm , 17 Oct 2006,@,TCS has short term target of Rs 1230
7.05 pm , 17 Oct 2006,@,Stay invested in TCS
3.19 pm , 17 Oct 2006,@,Buy HCL Technologies on declines
2.08 pm , 17 Oct 2006,@,Shah positive on TCS
12.35 pm , 17 Oct 2006,@,Take long term call on frontline IT stocks
5.00 pm , 16 Oct 2006,@,Aztecsoft can touch Rs 190
4.44 pm , 16 Oct 2006,@,Infosys a top pick
4.42 pm , 16 Oct 2006,@,Be invested in private banks
11.43 am , 16 Oct 2006,@,Stay invested in Tech Mahindra
6.36 pm , 13 Oct 2006,@,"Infosys, TCS, Wipro, I-Flex and Mphasis BFL look good"
6.23 pm , 13 Oct 2006,@,Buy Infosys with a target of Rs 2240: P-Sec
4.22 pm , 13 Oct 2006,@,Infosys Technologies has target of Rs 2160
2.12 pm , 13 Oct 2006,@,Stay invested in frontline IT stocks
10.53 am , 13 Oct 2006,@,Infosys has target of Rs 2400-2500
6.29 pm , 12 Oct 2006,@,Stay invested in TCS
5.15 pm , 12 Oct 2006,@,"HCL Technologies, Wipro look good"
4.55 pm , 12 Oct 2006,@,Buy Infosys with a target of Rs 2217: Brisc PCG
4.44 pm , 12 Oct 2006,@,Infosys can touch Rs 2175
3.36 pm , 12 Oct 2006,@,Infosys an outperformer: CLSA
11.59 am , 12 Oct 2006,@,Which sectors will post excellent results? SSKI answers
11.48 am , 12 Oct 2006,@,Infosys can touch Rs 2500-2600
11.43 am , 12 Oct 2006,@,Buy Infosys; may give 35-40% returns: Edelweiss
11.37 am , 12 Oct 2006,@,Infy's FY08 EPS may exceed estimates: JPMorgan
11.33 am , 12 Oct 2006,@,"Buy Infosys Technologies, says ICICI Securities"
11.25 am , 12 Oct 2006,@,Infosys has target of Rs 2250: DSP Merrill Lynch
11.18 am , 12 Oct 2006,@,Buy Infosys with target of Rs 2400: Angel Broking
10.59 am , 12 Oct 2006,@,Buy Infosys; target of Rs 2230: IL&FS Investsmart
10.33 am , 12 Oct 2006,@,Buy Infosys Technologies: India Infoline
9.51 am , 12 Oct 2006,@,Infosys Press Conference video
8.55 am , 12 Oct 2006,@,Conducive environment for offshore svcs boosts Infy volume
9.00 pm , 11 Oct 2006,@,Infy ADS crunch!
8.53 pm , 11 Oct 2006,@,Mfg vs svcs sector: Which one's a driver of employment?
6.50 pm , 11 Oct 2006,@,Hold Infosys Technologies
5.30 pm , 11 Oct 2006,@,Infy top buy in IT services sector: Man Financial
5.05 pm , 11 Oct 2006,@,Buy Infosys Technologies
4.48 pm , 11 Oct 2006,@,Tech Mahindra can touch 4 figures
3.46 pm , 11 Oct 2006,@,Infosys can go upto Rs 2180
3.18 pm , 11 Oct 2006,@,Takeaways from Infosys' conference call
3.00 pm , 11 Oct 2006,@,Infosys has support at Rs 1900-1910
2.34 pm , 11 Oct 2006,@,Buy TCS
2.29 pm , 11 Oct 2006,@,Stay invested in Infosys
